,Type,Name,pagerank
59,Protein,Polycystin-1,33.44699136369629
60,Protein,Polycystin-2,27.18008049205073
58,Protein,P2X purinoceptor 3,23.726587214697116
53,MeSH,digeorge syndrome,9.14646113568655
