,Type,Name,pagerank
2,Protein,,0.7854644140978974
3,Protein,,0.7854644140978974
4,Protein,,0.7854644140978974
8,Protein,,0.7854644140978974
5,Protein,,0.47453998434537464
6,Protein,,0.47453998434537464
7,Protein,,0.47453998434537464
9,Protein,,0.47453998434537464
