,Type,Name,pagerank
11,Protein,,1.9891132884218505
4,Protein,,0.5465967389542041
5,Protein,,0.5465967389542041
6,Protein,,0.5465967389542041
7,Protein,,0.5465967389542041
8,Protein,,0.5465967389542041
9,Protein,,0.5465967389542041
10,Protein,,0.5465967389542041
12,Protein,,0.5465967389542041
13,Protein,,0.5465967389542041
14,Protein,,0.5465967389542041
15,Protein,,0.5465967389542041
