,Type,Name,Betweenness
209,Protein,Gap junction alpha-1 protein,913510.779048216
210,Protein,Connexin-43,507861.5394677639
195,MeSH,"arrhythmias, cardiac",495347.0393560283
194,MeSH,chagas cardiomyopathy,65789.8384100954
211,Protein,Gap junction alpha-4 protein,63431.54022324597
196,MeSH,"tachycardia, atrioventricular nodal reentry",10211.263494648005
197,MeSH,crisscross heart,0.0
198,MeSH,karoshi death,0.0
