,Type,Name,Betweenness
5,Protein,,82.26666666666667
14,Protein,,26.0
7,Protein,,16.26666666666667
11,Protein,,6.3999999999999995
8,Protein,,1.0666666666666667
6,Protein,,0.0
9,Protein,,0.0
10,Protein,,0.0
12,Protein,,0.0
13,Protein,,0.0
